0.7_p,0.7_l1,0.7_l2,Latency,0.675_p,0.675_l1,0.675_l2,Latency,0.65_p,0.65_l1,0.65_l2,Latency,0.6_p,0.6_l1,0.6_l2,Latency,0.575_p,0.575_l1,0.575_l2,Latency,0.55_p,0.55_l1,0.55_l2,Latency,0.5375_p,0.5375_l1,0.5375_l2,Latency,0.525_p,0.525_l1,0.525_l2,Latency,0.5125_p,0.5125_l1,0.5125_l2,Latency,0.5_p,0.5_l1,0.5_l2,Latency,0.4875_p,0.4875_l1,0.4875_l2,Latency,0.475_p,0.475_l1,0.475_l2,Latency,0.4625_p,0.4625_l1,0.4625_l2,Latency,0.45_p,0.45_l1,0.45_l2,Latency,0.4375_p,0.4375_l1,0.4375_l2,Latency,0.425_p,0.425_l1,0.425_l2,Latency,0.4125_p,0.4125_l1,0.4125_l2,Latency,0.4_p,0.4_l1,0.4_l2,Latency
8.352410E-08,8.241823E-07,9.075428E-07,8.241823E-07,5.760350E-08,4.111297E-07,4.687827E-07,4.111297E-07,4.980440E-08,1.940927E-07,2.439524E-07,1.940927E-07,7.712000E-09,6.572660E-08,7.345754E-08,6.572660E-08,2.894900E-09,3.587140E-08,3.884266E-08,3.587140E-08,5.647600E-09,2.323600E-08,2.894081E-08,2.323600E-08,1.843581E-08,7.394200E-09,2.582873E-08,7.394200E-09,1.421228E-08,6.107400E-09,2.031874E-08,6.107400E-09,9.894171E-09,5.481600E-09,1.537752E-08,5.481600E-09,6.473365E-09,5.142300E-09,1.161398E-08,5.142300E-09,3.982150E-09,4.748600E-09,8.727901E-09,4.748600E-09,3.656908E-09,4.374100E-09,8.029110E-09,4.374100E-09,3.147132E-09,3.994800E-09,7.140027E-09,3.994800E-09,2.436675E-09,3.508200E-09,5.942251E-09,3.508200E-09,1.788498E-09,3.373800E-09,5.162057E-09,3.373800E-09,1.391749E-09,2.808800E-09,4.200030E-09,2.808800E-09,1.170308E-09,2.656800E-09,3.823676E-09,2.656800E-09,1.091880E-09,2.283900E-09,3.374378E-09,2.283900E-09
7.375036E-07,1.729592E-07,9.103719E-07,1.729592E-07,3.745002E-07,9.401630E-08,4.686995E-07,9.401630E-08,1.760814E-07,3.385870E-08,2.100032E-07,3.385870E-08,5.095130E-08,2.267700E-08,7.370716E-08,2.267700E-08,2.789800E-08,1.339610E-08,4.125572E-08,1.339610E-08,2.090170E-08,8.811600E-09,2.977290E-08,8.811600E-09,1.015021E-08,1.362650E-08,2.377676E-08,1.362650E-08,7.439863E-09,1.002860E-08,1.746966E-08,1.002860E-08,4.761808E-09,8.480900E-09,1.323992E-08,8.480900E-09,3.276306E-09,6.978100E-09,1.025340E-08,6.978100E-09,2.791904E-09,5.859300E-09,8.648613E-09,5.859300E-09,2.358248E-09,5.404800E-09,7.760588E-09,5.404800E-09,1.647790E-09,4.788600E-09,6.434893E-09,4.788600E-09,1.119561E-09,4.404500E-09,5.521496E-09,4.404500E-09,6.374650E-10,3.998000E-09,4.632413E-09,3.998000E-09,5.636510E-10,3.556300E-09,4.118627E-09,3.556300E-09,5.382770E-10,3.191400E-09,3.726416E-09,3.191400E-09,4.852240E-10,2.743200E-09,3.226374E-09,2.743200E-09
2.427180E-07,6.705455E-07,9.131178E-07,6.705455E-07,1.310070E-07,3.340877E-07,4.651215E-07,3.340877E-07,6.953160E-08,1.706111E-07,2.401248E-07,1.706111E-07,2.376910E-08,4.928940E-08,7.304149E-08,4.928940E-08,1.126750E-08,3.117510E-08,4.242064E-08,3.117510E-08,1.069410E-08,1.954610E-08,3.018895E-08,1.954610E-08,5.292345E-09,1.694910E-08,2.224068E-08,1.694910E-08,4.438873E-09,1.282620E-08,1.726246E-08,1.282620E-08,2.934918E-09,9.836500E-09,1.276947E-08,9.836500E-09,1.405589E-09,8.141600E-09,9.545096E-09,8.141600E-09,1.772351E-09,6.424300E-09,8.194029E-09,6.424300E-09,1.597043E-09,5.660900E-09,7.255259E-09,5.660900E-09,8.542920E-10,5.126300E-09,5.977137E-09,5.126300E-09,4.183300E-10,4.684600E-09,5.102855E-09,4.684600E-09,1.507550E-10,4.319700E-09,4.468552E-09,4.319700E-09,5.156800E-11,3.876400E-09,3.926222E-09,3.876400E-09,-3.792000E-12,3.455400E-09,3.450494E-09,3.450494E-09,-4.531300E-11,3.151300E-09,3.104799E-09,3.104799E-09
1.560101E-07,7.676028E-07,9.235189E-07,7.676028E-07,7.847760E-08,3.866418E-07,4.650383E-07,3.866418E-07,4.154650E-08,1.989008E-07,2.404577E-07,1.989008E-07,1.310260E-08,5.946480E-08,7.262545E-08,5.946480E-08,8.400200E-09,3.374690E-08,4.217102E-08,3.374690E-08,6.106300E-09,2.312420E-08,2.927365E-08,2.312420E-08,1.094602E-08,1.338640E-08,2.433283E-08,1.338640E-08,7.518291E-09,9.979000E-09,1.749715E-08,9.979000E-09,4.907129E-09,8.402500E-09,1.330546E-08,8.402500E-09,3.004118E-09,7.142900E-09,1.014451E-08,7.142900E-09,2.801130E-09,5.944200E-09,8.742701E-09,5.944200E-09,2.402075E-09,5.329600E-09,7.729930E-09,5.329600E-09,1.585510E-09,4.846200E-09,6.429607E-09,4.846200E-09,7.481850E-10,4.588600E-09,5.335433E-09,4.588600E-09,4.298630E-10,4.121200E-09,4.548897E-09,4.121200E-09,2.960760E-10,3.741900E-09,4.037225E-09,3.741900E-09,1.899690E-10,3.425000E-09,3.612242E-09,3.425000E-09,2.153420E-10,2.954500E-09,3.168229E-09,2.954500E-09
3.928511E-07,5.259660E-07,9.187760E-07,5.259660E-07,2.054428E-07,2.690101E-07,4.745241E-07,2.690101E-07,1.070362E-07,1.351650E-07,2.421218E-07,1.351650E-07,3.260040E-08,4.202130E-08,7.462246E-08,4.202130E-08,1.780500E-08,2.603150E-08,4.391840E-08,2.603150E-08,1.172630E-08,1.786880E-08,2.968969E-08,1.786880E-08,1.289286E-08,1.137460E-08,2.426623E-08,1.137460E-08,9.114513E-09,9.026700E-09,1.814097E-08,9.026700E-09,6.817060E-09,8.092000E-09,1.490602E-08,8.092000E-09,4.053657E-09,6.299500E-09,1.035066E-08,6.299500E-09,3.278613E-09,5.609700E-09,8.886477E-09,5.609700E-09,2.438982E-09,5.081500E-09,7.518495E-09,5.081500E-09,2.081446E-09,4.740600E-09,6.818647E-09,4.740600E-09,1.151854E-09,4.306900E-09,5.455951E-09,4.306900E-09,7.066650E-10,3.983600E-09,4.688444E-09,3.983600E-09,6.443850E-10,3.474600E-09,4.115456E-09,3.474600E-09,5.867180E-10,3.069700E-09,3.653471E-09,3.069700E-09,4.483170E-10,2.807200E-09,3.253860E-09,2.807200E-09
4.098257E-07,5.199278E-07,9.297596E-07,5.199278E-07,2.178296E-07,2.559275E-07,4.738584E-07,2.559275E-07,1.164410E-07,1.276733E-07,2.442021E-07,1.276733E-07,3.466490E-08,3.777230E-08,7.254224E-08,3.777230E-08,1.929600E-08,2.826780E-08,4.749638E-08,2.826780E-08,1.447890E-08,1.540880E-08,2.985611E-08,1.540880E-08,1.279136E-08,1.147700E-08,2.426940E-08,1.147700E-08,9.329034E-09,9.281200E-09,1.861035E-08,9.281200E-09,6.473365E-09,7.471000E-09,1.394188E-08,7.471000E-09,4.418113E-09,6.192200E-09,1.060650E-08,6.192200E-09,3.200186E-09,5.555300E-09,8.753273E-09,5.555300E-09,2.741157E-09,5.033500E-09,7.771160E-09,5.033500E-09,2.141420E-09,4.671800E-09,6.812304E-09,4.671800E-09,1.244121E-09,4.214100E-09,5.454894E-09,4.214100E-09,8.865860E-10,3.878000E-09,4.763503E-09,3.878000E-09,6.882110E-10,3.557900E-09,4.243374E-09,3.557900E-09,5.959440E-10,3.172100E-09,3.765532E-09,3.172100E-09,6.397710E-10,2.668000E-09,3.305661E-09,2.668000E-09
4.256533E-07,4.921972E-07,9.177775E-07,4.921972E-07,2.233349E-07,2.508958E-07,4.741912E-07,2.508958E-07,1.096741E-07,1.325932E-07,2.422050E-07,1.325932E-07,3.455020E-08,4.000860E-08,7.453925E-08,4.000860E-08,1.700220E-08,2.759690E-08,4.466728E-08,2.759690E-08,1.333200E-08,1.652700E-08,2.985611E-08,1.652700E-08,-1.099512E-08,2.167530E-08,1.068156E-08,1.068156E-08,-7.581236E-09,1.688180E-08,9.301946E-09,9.301946E-09,-4.478751E-09,1.265500E-08,8.175000E-09,8.175000E-09,-2.243579E-09,9.606100E-09,7.358862E-09,7.358862E-09,-1.816843E-09,7.976800E-09,6.157914E-09,6.157914E-09,-1.180199E-09,6.357100E-09,5.176857E-09,5.176857E-09,-1.120226E-09,5.684900E-09,4.561583E-09,4.561583E-09,-8.526510E-10,4.899100E-09,4.043568E-09,4.043568E-09,-9.656780E-10,4.657400E-09,3.690472E-09,3.690472E-09,-8.664910E-10,4.252500E-09,3.382835E-09,3.382835E-09,-6.957960E-10,3.637900E-09,2.939880E-09,2.939880E-09,-5.712360E-10,3.229800E-09,2.657615E-09,2.657615E-09
-4.624146E-07,8.291023E-07,3.666854E-07,3.666854E-07,-2.344049E-07,4.220878E-07,1.876200E-07,1.876200E-07,-1.121422E-07,2.198106E-07,1.076564E-07,1.076564E-07,-3.380680E-08,6.930470E-08,3.534789E-08,3.534789E-08,-1.499720E-08,3.978500E-08,2.469716E-08,2.469716E-08,-1.201520E-08,2.770870E-08,1.562740E-08,1.562740E-08,5.273891E-09,6.962100E-09,1.223137E-08,6.962100E-09,3.938323E-09,6.134600E-09,1.007157E-08,6.134600E-09,3.022572E-09,5.556900E-09,8.577782E-09,5.556900E-09,2.586609E-09,5.043100E-09,7.628441E-09,5.043100E-09,1.811565E-09,4.718200E-09,6.526867E-09,4.718200E-09,1.052667E-09,4.322900E-09,5.373492E-09,4.322900E-09,7.758650E-10,3.836300E-09,4.611270E-09,3.836300E-09,6.812910E-10,3.674700E-09,4.353320E-09,3.674700E-09,5.936380E-10,3.157700E-09,3.747560E-09,3.157700E-09,5.659570E-10,2.720800E-09,3.283461E-09,2.720800E-09,3.929560E-10,2.483900E-09,2.875392E-09,2.483900E-09,3.468230E-10,2.280700E-09,2.625899E-09,2.280700E-09
2.049840E-07,1.744128E-07,3.794164E-07,1.744128E-07,9.912240E-08,9.345720E-08,1.926126E-07,9.345720E-08,5.462150E-08,5.543940E-08,1.100694E-07,5.543940E-08,1.505240E-08,2.345970E-08,3.859304E-08,2.345970E-08,1.390550E-08,1.384340E-08,2.769268E-08,1.384340E-08,8.400200E-09,9.147100E-09,1.754121E-08,9.147100E-09,-3.872095E-09,1.509730E-08,1.122494E-08,1.122494E-08,-1.662295E-09,1.107050E-08,9.405549E-09,9.405549E-09,-2.644470E-10,8.120800E-09,7.853619E-09,7.853619E-09,5.082900E-10,6.429100E-09,6.934936E-09,6.429100E-09,3.537430E-10,5.742500E-09,6.093426E-09,5.742500E-09,1.092350E-10,5.300800E-09,5.408378E-09,5.300800E-09,-2.436870E-10,4.670200E-09,4.425208E-09,4.425208E-09,-2.736740E-10,4.215700E-09,3.939965E-09,3.939965E-09,-3.036610E-10,3.836300E-09,3.530839E-09,3.530839E-09,-2.575270E-10,3.423400E-09,3.165058E-09,3.165058E-09,-1.791000E-10,3.050500E-09,2.866935E-09,2.866935E-09,1.466100E-11,2.549600E-09,2.563526E-09,2.549600E-09
-3.169838E-07,6.844109E-07,3.674343E-07,3.674343E-07,-1.552667E-07,3.456049E-07,1.903659E-07,1.903659E-07,-7.188490E-08,1.773201E-07,1.053265E-07,1.053265E-07,-2.015840E-08,5.488030E-08,3.459901E-08,3.459901E-08,-7.656800E-09,3.251690E-08,2.469716E-08,2.469716E-08,-5.133600E-09,2.077610E-08,1.554419E-08,1.554419E-08,-8.487761E-09,1.965710E-08,1.116786E-08,1.116786E-08,-5.433717E-09,1.471960E-08,9.282917E-09,9.282917E-09,-2.608034E-09,1.081600E-08,8.206715E-09,8.206715E-09,-1.634615E-09,9.105100E-09,7.469865E-09,7.469865E-09,-9.910510E-10,7.021300E-09,6.027882E-09,6.027882E-09,-7.257830E-10,5.984200E-09,5.256145E-09,5.256145E-09,-5.066490E-10,5.182300E-09,4.673643E-09,4.673643E-09,-5.297150E-10,4.691000E-09,4.157743E-09,4.157743E-09,-6.358230E-10,4.326100E-09,3.688358E-09,3.688358E-09,-7.419300E-10,4.031600E-09,3.287690E-09,3.287690E-09,-7.442370E-10,3.657100E-09,2.911336E-09,2.911336E-09,-4.974220E-10,3.138500E-09,2.637528E-09,2.637528E-09
