0.25_p,0.25_l1,0.25_l2,Latency,0.275_p,0.275_l1,0.275_l2,Latency,0.3_p,0.3_l1,0.3_l2,Latency,0.325_p,0.325_l1,0.325_l2,Latency,0.3375_p,0.3375_l1,0.3375_l2,Latency,0.35_p,0.35_l1,0.35_l2,Latency,0.3625_p,0.3625_l1,0.3625_l2,Latency,0.375_p,0.375_l1,0.375_l2,Latency,0.3875_p,0.3875_l1,0.3875_l2,Latency,0.4_p,0.4_l1,0.4_l2,Latency,0.4125_p,0.4125_l1,0.4125_l2,Latency,0.425_p,0.425_l1,0.425_l2,Latency,0.4375_p,0.4375_l1,0.4375_l2,Latency,0.45_p,0.45_l1,0.45_l2,Latency,0.4625_p,0.4625_l1,0.4625_l2,Latency,0.475_p,0.475_l1,0.475_l2,Latency,0.4875_p,0.4875_l1,0.4875_l2,Latency,0.5_p,0.5_l1,0.5_l2,Latency
5.72918E-08,1.12894E-07,1.70190E-07,1.12894E-07,2.67038E-08,6.13120E-08,8.81100E-08,6.13120E-08,1.38973E-08,3.65440E-08,5.04000E-08,3.65440E-08,9.19856E-09,2.02300E-08,2.93500E-08,2.02300E-08,7.44803E-09,1.48150E-08,2.22500E-08,1.48150E-08,6.98737E-09,1.09840E-08,1.79200E-08,1.09840E-08,2.84140E-09,8.47400E-09,1.12700E-08,8.47400E-09,2.93353E-09,7.48300E-09,1.04100E-08,7.48300E-09,1.73580E-09,6.29400E-09,8.00000E-09,6.29400E-09,1.57173E-09,5.76006E-09,7.33195E-09,5.76006E-09,1.93540E-09,3.97976E-09,5.91541E-09,3.97976E-09,1.80135E-09,3.76184E-09,5.56371E-09,3.76184E-09,1.13932E-09,3.60072E-09,4.74050E-09,3.60072E-09,5.80415E-10,3.44685E-09,4.02776E-09,3.44685E-09,3.08868E-10,3.31016E-09,3.61920E-09,3.31016E-09,2.16748E-10,3.29630E-09,3.51361E-09,3.29630E-09,2.78620E-10,3.19262E-09,3.47178E-09,3.19262E-09,2.68308E-10,3.19262E-09,3.46163E-09,3.19262E-09
-2.21133E-07,3.94386E-07,1.73160E-07,1.73160E-07,-1.06244E-07,1.95915E-07,8.96200E-08,8.96200E-08,-5.16090E-08,9.89580E-08,4.73700E-08,4.73700E-08,-2.20344E-08,5.13380E-08,2.93000E-08,2.93000E-08,-1.66907E-08,3.95160E-08,2.27500E-08,2.27500E-08,-1.31897E-08,3.07980E-08,1.75100E-08,1.75100E-08,-1.18077E-08,2.42590E-08,1.24300E-08,1.24300E-08,-7.38534E-09,1.80510E-08,1.06200E-08,1.06200E-08,-4.98988E-09,1.32290E-08,8.20000E-09,8.20000E-09,-9.88371E-10,7.41094E-09,6.42306E-09,6.42306E-09,-5.77269E-10,6.54588E-09,5.96861E-09,5.96861E-09,-1.66167E-10,4.69161E-09,4.52566E-09,4.52566E-09,-1.28357E-10,4.19503E-09,4.06675E-09,4.06675E-09,-2.50725E-10,3.92891E-09,3.67809E-09,3.67809E-09,-1.60668E-10,3.68392E-09,3.52336E-09,3.52336E-09,-1.66855E-10,3.60732E-09,3.44051E-09,3.44051E-09,-1.52418E-10,3.48119E-09,3.32883E-09,3.32883E-09,-1.43481E-10,3.44553E-09,3.30202E-09,3.30202E-09
7.81656E-09,1.67053E-07,1.74820E-07,1.67053E-07,7.72443E-09,8.33050E-08,9.09300E-08,8.33050E-08,4.22339E-09,4.44040E-08,4.85800E-08,4.44040E-08,4.22339E-09,2.54480E-08,2.96500E-08,2.54480E-08,3.20993E-09,1.93720E-08,2.25500E-08,1.93720E-08,4.68405E-09,1.34280E-08,1.80200E-08,1.34280E-08,3.02566E-09,1.02570E-08,1.32300E-08,1.02570E-08,1.82794E-09,8.47400E-09,1.03100E-08,8.47400E-09,1.18301E-09,6.95500E-09,8.05000E-09,6.95500E-09,1.74154E-09,4.68435E-09,6.42630E-09,4.68435E-09,1.77454E-09,4.12437E-09,5.89916E-09,4.12437E-09,1.66660E-09,3.75722E-09,5.42441E-09,3.75722E-09,1.29125E-09,3.67468E-09,4.96630E-09,3.67468E-09,1.18126E-09,3.70967E-09,4.89158E-09,3.70967E-09,2.41497E-10,3.35242E-09,3.59402E-09,3.35242E-09,2.49747E-10,3.26790E-09,3.51767E-09,3.26790E-09,2.35997E-10,3.21903E-09,3.45513E-09,3.21903E-09,1.40440E-10,3.29630E-09,3.43726E-09,3.29630E-09
-1.04678E-07,2.77285E-07,1.72500E-07,1.72500E-07,-5.42809E-08,1.42153E-07,8.78100E-08,8.78100E-08,-3.09713E-08,7.78890E-08,4.68700E-08,4.68700E-08,-1.52166E-08,4.38750E-08,2.85900E-08,2.85900E-08,-1.15313E-08,3.41000E-08,2.25000E-08,2.25000E-08,-9.13586E-09,2.71650E-08,1.80200E-08,1.80200E-08,-8.95159E-09,2.10890E-08,1.20300E-08,1.20300E-08,-4.89775E-09,1.54750E-08,1.05100E-08,1.05100E-08,-3.51576E-09,1.15120E-08,7.95000E-09,7.95000E-09,-6.46703E-10,6.92558E-09,6.27888E-09,6.27888E-09,2.20186E-10,5.52366E-09,5.74443E-09,5.52366E-09,4.00301E-10,4.89104E-09,5.29201E-09,4.89104E-09,-1.58605E-10,4.01079E-09,3.85191E-09,3.85191E-09,-1.41419E-10,3.84307E-09,3.70164E-09,3.70164E-09,-2.38351E-10,3.72288E-09,3.48478E-09,3.48478E-09,-1.63418E-10,3.56968E-09,3.40599E-09,3.40599E-09,-7.47351E-11,3.47327E-09,3.39868E-09,3.39868E-09,-1.40731E-10,3.45346E-09,3.31299E-09,3.31299E-09
-4.63575E-08,2.18041E-07,1.71600E-07,1.71600E-07,-2.38771E-08,1.12234E-07,8.83100E-08,8.83100E-08,-1.14392E-08,5.79430E-08,4.64700E-08,4.64700E-08,-4.98988E-09,3.46950E-08,2.96000E-08,2.96000E-08,-3.88429E-09,2.66370E-08,2.27000E-08,2.27000E-08,-3.05510E-09,2.05610E-08,1.74100E-08,1.74100E-08,-2.41017E-09,1.42860E-08,1.18700E-08,1.18700E-08,-2.91120E-10,1.03230E-08,1.00100E-08,1.00100E-08,-4.75380E-10,8.01200E-09,7.44000E-09,7.44000E-09,9.16584E-10,5.25291E-09,6.16964E-09,5.25291E-09,8.62962E-10,5.30970E-09,6.17329E-09,5.30970E-09,9.50957E-10,4.19503E-09,5.14621E-09,4.19503E-09,3.02681E-10,3.82590E-09,4.12888E-09,3.82590E-09,1.85125E-10,3.60732E-09,3.79221E-09,3.60732E-09,1.07442E-10,3.36233E-09,3.47016E-09,3.36233E-09,7.85687E-11,3.38148E-09,3.46000E-09,3.38148E-09,7.85687E-11,3.29696E-09,3.37634E-09,3.29696E-09,7.03192E-11,3.31016E-09,3.38040E-09,3.31016E-09
2.73487E-08,1.45455E-07,1.72760E-07,1.45455E-07,1.33445E-08,7.48510E-08,8.82100E-08,7.48510E-08,8.55363E-09,3.92520E-08,4.77300E-08,3.92520E-08,5.60538E-09,2.40610E-08,2.96500E-08,2.40610E-08,4.49979E-09,1.83150E-08,2.28000E-08,1.83150E-08,5.42111E-09,1.26350E-08,1.80200E-08,1.26350E-08,3.02566E-09,1.03890E-08,1.33300E-08,1.03890E-08,1.92007E-09,8.47400E-09,1.03600E-08,8.47400E-09,1.09088E-09,7.08700E-09,8.05000E-09,7.08700E-09,1.42874E-09,4.64737E-09,6.07663E-09,4.64737E-09,1.43699E-09,4.27890E-09,5.71641E-09,4.27890E-09,3.45991E-10,3.80476E-09,4.15081E-09,3.80476E-09,2.98556E-10,3.81599E-09,4.11467E-09,3.81599E-09,1.94750E-10,3.68062E-09,3.87546E-09,3.68062E-09,1.98200E-13,3.57826E-09,3.57900E-09,3.57826E-09,2.76966E-11,3.49638E-09,3.52458E-09,3.49638E-09,-1.45544E-10,3.53006E-09,3.38528E-09,3.38528E-09,-1.11171E-10,3.37554E-09,3.26506E-09,3.26506E-09
1.10637E-07,5.84060E-08,1.69080E-07,5.84060E-08,5.34223E-08,3.29770E-08,8.64500E-08,3.29770E-08,2.61510E-08,1.95700E-08,4.57100E-08,1.95700E-08,1.72141E-08,1.05210E-08,2.77400E-08,1.05210E-08,1.34367E-08,8.47400E-09,2.19500E-08,8.47400E-09,1.03042E-08,6.82300E-09,1.70600E-08,6.82300E-09,6.06604E-09,5.83200E-09,1.18700E-08,5.83200E-09,5.32898E-09,5.04000E-09,1.03600E-08,5.04000E-09,3.39419E-09,4.70900E-09,8.05000E-09,4.70900E-09,2.47575E-09,3.76184E-09,6.23746E-09,3.76184E-09,2.40975E-09,3.64958E-09,6.05998E-09,3.64958E-09,2.00002E-09,3.47921E-09,5.47964E-09,3.47921E-09,1.53324E-09,3.30356E-09,4.83756E-09,3.30356E-09,7.68780E-10,3.24281E-09,4.01192E-09,3.24281E-09,5.15107E-10,3.09687E-09,3.61189E-09,3.09687E-09,5.08232E-10,3.11470E-09,3.62326E-09,3.11470E-09,4.49798E-10,3.00904E-09,3.45919E-09,3.00904E-09,3.07493E-10,3.04668E-09,3.35401E-09,3.04668E-09
-6.04538E-08,1.16791E-07,5.63400E-08,5.63400E-08,-3.06028E-08,6.38210E-08,3.31700E-08,3.31700E-08,-1.36504E-08,3.50910E-08,2.13400E-08,2.13400E-08,-9.50439E-09,2.12870E-08,1.17200E-08,1.17200E-08,-6.18761E-09,1.69280E-08,1.06200E-08,1.06200E-08,-3.88429E-09,1.17100E-08,7.80000E-09,7.80000E-09,-2.41017E-09,9.59700E-09,7.14000E-09,7.14000E-09,-1.39671E-09,7.94600E-09,6.54000E-09,6.54000E-09,-9.36040E-10,6.75700E-09,5.78000E-09,5.78000E-09,-3.56594E-10,4.29540E-09,3.93922E-09,3.93922E-09,-3.11222E-10,3.86552E-09,3.55503E-09,3.55503E-09,-3.53157E-10,3.86948E-09,3.51605E-09,3.51605E-09,-2.35601E-10,3.50761E-09,3.27238E-09,3.27238E-09,-2.12915E-10,3.34120E-09,3.12901E-09,3.12901E-09,-1.66167E-10,3.13649E-09,2.97103E-09,2.97103E-09,-1.68917E-10,3.22035E-09,3.05145E-09,3.05145E-09,-1.22170E-10,3.11272E-09,2.99053E-09,2.99053E-09,-1.52418E-10,3.04998E-09,2.89753E-09,2.89753E-09
-3.42841E-07,3.99406E-07,5.64900E-08,5.64900E-08,-1.60234E-07,1.94000E-07,3.36800E-08,3.36800E-08,-7.59321E-08,9.80340E-08,2.20500E-08,2.20500E-08,-3.84341E-08,5.02820E-08,1.18200E-08,1.18200E-08,-2.80231E-08,3.85910E-08,1.04600E-08,1.04600E-08,-2.25872E-08,3.06000E-08,7.90000E-09,7.90000E-09,-1.64143E-08,2.37970E-08,7.29000E-09,7.29000E-09,-1.13470E-08,1.83810E-08,6.94000E-09,6.94000E-09,-6.55614E-09,1.31630E-08,6.54000E-09,6.54000E-09,-2.33580E-09,7.59583E-09,5.25993E-09,5.25993E-09,-2.59084E-09,7.00680E-09,4.41642E-09,4.41642E-09,-1.91507E-09,5.52035E-09,3.60539E-09,3.60539E-09,-1.57478E-09,5.10169E-09,3.52742E-09,3.52742E-09,-8.21318E-10,4.24324E-09,3.42223E-09,3.42223E-09,-7.38823E-10,3.88995E-09,3.15135E-09,3.15135E-09,-6.94825E-10,3.83118E-09,3.13673E-09,3.13673E-09,-5.69020E-10,3.65222E-09,3.08353E-09,3.08353E-09,-6.53577E-10,3.64958E-09,2.99581E-09,2.99581E-09
-1.11587E-07,1.67449E-07,5.57800E-08,5.57800E-08,-5.04113E-08,8.41640E-08,3.37300E-08,3.37300E-08,-2.31400E-08,4.45360E-08,2.13400E-08,2.13400E-08,-1.51245E-08,2.69010E-08,1.17700E-08,1.17700E-08,-9.87292E-09,2.03620E-08,1.04100E-08,1.04100E-08,-7.56960E-09,1.54750E-08,7.80000E-09,7.80000E-09,-3.79216E-09,1.11820E-08,7.29000E-09,7.29000E-09,-2.41017E-09,9.13500E-09,6.69000E-09,6.69000E-09,-1.48884E-09,7.35100E-09,5.83000E-09,5.83000E-09,-7.12699E-10,4.80982E-09,4.09721E-09,4.09721E-09,-3.88217E-10,4.01542E-09,3.62692E-09,3.62692E-09,-4.06091E-10,3.87146E-09,3.46609E-09,3.46609E-09,-2.78911E-10,3.54393E-09,3.26588E-09,3.26588E-09,-1.77854E-10,3.43761E-09,3.25938E-09,3.25938E-09,-2.36976E-10,3.32535E-09,3.08881E-09,3.08881E-09,-1.22170E-10,3.25139E-09,3.12942E-09,3.12942E-09,-2.38351E-10,3.17479E-09,2.93692E-09,2.93692E-09,-2.15665E-10,3.17545E-09,2.95966E-09,2.95966E-09
