Read1,Read0,"Current, A"
4.21E-05,5.55E-08,
4.40E-05,4.65E-09,
4.14E-05,4.64E-08,
4.29E-05,2.30E-08,
4.16E-05,1.66E-07,
4.04E-05,6.49E-08,
3.96E-05,5.55E-08,
3.97E-05,2.30E-08,
3.69E-05,2.31E-07,
3.79E-05,1.40E-08,
3.88E-05,1.53E-07,
3.89E-05,1.71E-07,
3.61E-05,3.69E-08,
3.71E-05,1.71E-07,
3.72E-05,2.76E-08,
3.89E-05,7.40E-08,
3.97E-05,3.71E-08,
3.87E-05,9.24E-08,
4.07E-05,6.03E-08,
4.31E-05,2.31E-07,
4.20E-05,7.42E-08,
3.99E-05,1.57E-07,
4.00E-05,1.43E-07,
3.76E-05,2.30E-08,
3.92E-05,2.08E-07,
3.98E-05,9.17E-09,
3.85E-05,7.39E-08,
3.79E-05,1.40E-08,
4.00E-05,2.04E-07,
3.65E-05,1.34E-07,
4.08E-05,2.04E-07,
4.09E-05,1.85E-07,
3.77E-05,2.36E-07,
3.89E-05,4.69E-09,
3.97E-05,6.02E-08,
3.76E-05,2.33E-08,
3.86E-05,1.80E-07,
4.04E-05,1.85E-07,
4.04E-05,1.30E-07,
3.83E-05,9.27E-08,
4.00E-05,3.71E-08,
3.99E-05,1.40E-08,
4.00E-05,1.20E-07,
4.03E-05,2.54E-07,
4.19E-05,5.54E-08,
4.17E-05,6.95E-08,
4.26E-05,9.25E-08,
3.88E-05,1.39E-07,
4.03E-05,4.62E-08,
3.92E-05,8.32E-08,
4.14E-05,3.69E-08,
4.03E-05,1.84E-08,
3.73E-05,6.47E-08,
4.10E-05,8.32E-08,
3.82E-05,1.07E-07,
4.16E-05,1.94E-07,
3.94E-05,1.62E-07,
3.81E-05,6.95E-08,
3.56E-05,9.72E-08,
3.90E-05,5.08E-08,
4.18E-05,1.39E-07,
3.97E-05,9.21E-09,
3.97E-05,4.17E-08,
4.09E-05,2.33E-08,
4.00E-05,4.64E-08,
3.82E-05,7.39E-08,
4.06E-05,2.77E-08,
4.10E-05,2.64E-07,
4.17E-05,2.31E-07,
3.99E-05,8.34E-08,
3.71E-05,1.62E-07,
4.03E-05,4.61E-08,
4.04E-05,1.86E-08,
4.04E-05,7.88E-08,
3.96E-05,8.33E-08,
3.83E-05,1.57E-07,
4.09E-05,7.39E-08,
3.95E-05,2.22E-07,
3.90E-05,9.27E-08,
4.03E-05,1.81E-07,
4.03E-05,1.29E-07,
4.10E-05,5.16E-11,
3.97E-05,1.20E-07,
3.80E-05,3.69E-08,
3.58E-05,2.87E-07,
4.12E-05,1.43E-07,
3.85E-05,1.94E-07,
4.02E-05,4.64E-08,
3.95E-05,3.25E-08,
3.92E-05,9.27E-08,
3.79E-05,2.69E-07,
3.75E-05,2.59E-07,
4.00E-05,4.17E-08,
3.97E-05,8.78E-08,
3.82E-05,2.27E-07,
3.70E-05,2.76E-08,
3.74E-05,1.66E-07,
3.85E-05,8.32E-08,
3.72E-05,3.15E-07,
3.75E-05,4.55E-09,
3.64E-05,1.71E-07,
3.80E-05,1.38E-08,
3.90E-05,1.85E-07,
3.96E-05,3.10E-07,
3.89E-05,1.48E-07,
